food_code,food_name,meal_type,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit
BFP226,Fish finger,"lunch,dinner",bfp_manual,2236.490967,542.9013062,4.474176407,5.655504227,55.82164764,0.171780244,0.339953572,7271.080078,11528.49414,34548.41797,29.99616814,11.38077927,67.8708725,12.16605473,103.5458374,135.3891144,0.379916131,0.038475171,9.150341034,0.002817917,0.047622804,0.003606934,0.260283142,17.99183846,27.00883675,0.173132837,0.184855387,3.729626417,1.046574473,7.848463535,0.03040533,0.022227732,0.496178895,0.394671887,0.055005748,1.193218946,7.848463535,3.184810162,47.2339325,fillet
BFP229,Fish in coconut milk (Nariyal ke doodh ke saath machli),"lunch,dinner",bfp_manual,359.8873901,86.20545197,2.730934143,8.659459114,4.43185997,1.54894495,1.515368223,2118.415527,492.6654053,1035.872192,17.13285255,21.94163132,99.27879333,23.46416473,73.92955017,190.3840485,0.914620757,0.098517887,23.80240059,0.006014284,0.243369684,0.027645523,0.382172644,6.02303791,1.074166775,1.079347849,0.081093535,6.817189217,1.935186625,11.6738615,0.03982307,0.048974045,1.105237961,0.592375696,0.081106126,2.752075672,11.6738615,3.290572405,279.5059814,dish
BFP230,Prawn curry (with coconut) (Jhinga curry),"lunch,dinner",bfp_manual,456.0732727,109.5486908,3.103473425,8.543452263,6.929214001,2.034953117,1.564234972,2466.343262,1037.806152,2379.039795,37.1172905,37.24527359,115.4469452,35.66516876,375.863739,150.6495819,0.958839297,0.233802944,25.12926292,0.013664232,0.181369349,0.060813643,0.717547536,0.650076866,3.543267488,1.645896435,0.618621528,7.488759995,155.7039032,15.24708462,0.023902558,0.028353838,0.664286673,0.951449394,0.085025169,0.411863208,15.24708462,1.300139427,290.4087219,bowl
BFP231,Baked stuffed fish,"lunch,dinner",bfp_manual,510.1289673,121.9603806,2.121294975,16.13819885,5.42735815,0.346365452,0.376371264,2888.677002,1141.417725,813.9802856,36.95200348,18.79994774,181.9986267,29.34610367,74.3615036,242.9720917,0.354458749,0.055789486,24.38689804,0.00981178,0.053172737,0.006902616,0.482328922,37.50256729,1.079616308,1.52191782,0.501261353,2.588973761,0.813522518,11.02158737,0.052515347,0.030901533,1.254484653,0.949323356,0.12090876,0.456573099,11.02158737,2.13787961,422.2809448,fish
BFP232,Fish pie,"lunch,dinner",bfp_manual,504.0708008,120.8950272,7.743610859,9.250432968,5.772898674,1.131025195,0.756634712,3348.718262,1359.109741,552.3217163,23.97002602,36.14876175,123.7354279,24.55194855,101.7960968,316.2816467,0.45893845,0.067172356,12.53594589,0.006282928,0.100886814,0.024542687,0.40933606,43.74734116,0.646356225,0.336692959,0.249517322,3.625773191,0.404954344,12.11980152,0.050852448,0.041755293,0.943289995,0.665565014,0.097712621,0.949932933,12.11980152,8.840602875,183.5956726,pie
BFP233,Crispy baked fish,"lunch,dinner",bfp_manual,579.5053101,138.4017944,9.587173462,10.95356846,6.413250923,1.526643157,1.207491159,3546.247803,1436.514771,584.9293213,28.88692665,60.03516006,147.4285126,24.22565269,192.4231415,208.7279205,0.545848072,0.070848055,14.36941624,0.006310954,0.152897537,0.016961131,0.511660755,56.78003693,0.702597201,3.327879906,0.269434631,8.21731472,0.437279135,16.52966499,0.071766786,0.042561837,1.027720809,0.596289754,0.102173142,1.218674898,16.52966499,5.995583057,1112.307373,casserole dish
BFP234,Fish souffle,"lunch,dinner",bfp_manual,582.355896,139.7071686,5.13899231,10.50834656,8.546370506,2.093096018,0.192151427,4629.530762,2325.811523,708.0957642,84.68883514,63.8711319,148.8556976,18.49806976,92.45176697,167.335144,0.589293718,0.052523192,17.30480003,0.005713754,0.059676982,0.021669939,0.570627093,82.70806122,0.853457034,0.370742202,0.348750591,0.644680738,2.808627367,15.31788731,0.046404142,0.093011446,0.557543874,0.795456111,0.091470845,3.932518482,15.31788731,0.816685855,144.6908722,dish
BFP239,Potato curry (Aloo ki sabzi),"lunch,dinner",bfp_manual,372.1199036,89.55504608,10.41994762,1.517779469,4.468658924,1.584913969,2.422082186,548.6575928,961.1213989,2684.726563,0,23.73575401,38.19035721,25.29504967,78.39628601,383.4476318,0.974043727,0.100025803,0.514709532,0.003742621,0.279927075,0.050106663,0.308543444,0,2.078516483,3.37137866,0,12.08832836,0,17.64904213,0.053300094,0.020622116,0.764256537,0.305117816,0.102408096,1.429889917,17.64904213,20.92422295,1767.425049,bowl
BFP240,Egg curry (Anda curry),"lunch,dinner",bfp_manual,488.2774353,117.5206909,4.03344202,5.383247375,8.809445381,1.896622777,2.092888355,1676.696655,2417.373047,3865.278809,120.73629,41.59408951,83.16969299,21.72081184,142.1213989,198.5322876,1.519680738,0.0967355,13.53005123,0.003657716,0.286500633,0.065316357,0.631345928,65.31635284,3.222712755,4.358176231,0.277099669,14.67734051,4.819555283,29.50793266,0.051089924,0.083504647,0.366505235,0.639985502,0.122995317,7.027926922,29.50793266,12.5532465,2257.767822,bowl
BFP241,Vegetable curry with coconut ,"lunch,dinner",bfp_manual,346.1748962,83.07126617,7.18531847,2.774009705,4.655509472,1.411500096,3.345585346,1806.593384,659.0877686,1488.587158,0,19.62595367,33.57814026,23.16178131,43.39758301,215.4682617,0.946895599,0.120736875,0.616976619,0.002460909,0.296646386,0.035794064,0.454270005,0,1.32240653,5.277791023,0,19.42310905,0,23.59506226,0.095119901,0.022221385,0.63528055,0.308697164,0.098615065,1.715216279,23.59506226,18.73185539,1287.886108,bowl
BFP242,Curd with potatoes (Dahi aloo),"lunch,dinner",bfp_manual,249.5955048,59.90421677,7.146248341,1.563429236,2.720989227,1.820397377,1.187011361,539.6506958,579.4611816,1432.537598,1.450192451,36.36400223,43.33739471,15.87468147,51.99082184,259.2660217,0.473055422,0.05254364,0.556201518,0.001861124,0.156930864,0.022675738,0.251805872,3.691399097,1.105312705,1.479957461,0,5.750423431,0,11.79144859,0.036881823,0.044609766,0.465567946,0.237818122,0.067704476,1.135058045,11.79144859,11.31871796,788.5368652,bowl
BFP246,Potato kofta curry (Aloo kofta curry),"lunch,dinner",bfp_manual,1873.548706,455.3974609,2.783807516,0.560030282,49.08486557,0.629935324,0.560033321,6069.453613,10159.06152,30803.68555,2.60273695,7.772984982,13.23814297,6.904822826,30.12199211,97.57389069,0.259695321,0.031347837,0.334595919,0.000954808,0.115837775,0.017449612,0.094431415,5.24958849,24.00399971,0.744883955,0.004117324,5.742754936,0.07161203,4.761766911,0.014441416,0.009968924,0.188177302,0.090990901,0.028118579,0.520488858,4.761766911,4.571774006,364.6864624,bowl
BFP249,Yam kofta curry (Zimikand/Suran kofta curry),"lunch,dinner",bfp_manual,1328.945923,322.8794861,3.748732328,0.714913905,33.83530426,0.626201034,1.037795663,4280.241211,6973.526855,21150.96094,3.53877306,8.351122856,15.19751835,8.550979614,42.22227097,109.0215988,0.309905887,0.054039799,0.384799957,0.001692613,0.104840189,0.013728574,0.108181961,7.137526035,16.5085125,0.949842453,0.005598059,6.045030117,0.097366244,5.794541359,0.014138032,0.012650681,0.160382658,0.102454618,0.04606723,1.062975407,5.794541359,4.807357788,458.6889954,bowl
